,train_scores_1,valid_scores_1,train_scores_2,valid_scores_2,train_scores_3,valid_scores_3
65,{'mean_absolute_error': 0.4767727445146504},{'mean_absolute_error': 1.1505149608213165},{'mean_absolute_error': 0.5184873718240092},{'mean_absolute_error': 1.141190750932105},{'mean_absolute_error': 0.5118120479196917},{'mean_absolute_error': 1.0829197069040437}
66,{'mean_absolute_error': 0.48893416090023334},{'mean_absolute_error': 1.1552144257814643},{'mean_absolute_error': 0.5459261062338867},{'mean_absolute_error': 1.0458255500937097},{'mean_absolute_error': 0.545750024679217},{'mean_absolute_error': 1.2093355026061718}
67,{'mean_absolute_error': 0.4869274212931635},{'mean_absolute_error': 1.1736752736781093},{'mean_absolute_error': 0.49630364739965416},{'mean_absolute_error': 1.1633773950559771},{'mean_absolute_error': 0.4846377809000331},{'mean_absolute_error': 1.178375714538394}
68,{'mean_absolute_error': 0.46334316261104364},{'mean_absolute_error': 1.1753714599444973},{'mean_absolute_error': 0.47641933741814385},{'mean_absolute_error': 1.154427951093137},{'mean_absolute_error': 0.5228844645189495},{'mean_absolute_error': 1.1057431510029037}
69,{'mean_absolute_error': 0.5127223317247442},{'mean_absolute_error': 1.1397261905316707},{'mean_absolute_error': 0.4680320809508668},{'mean_absolute_error': 1.1406301354352082},{'mean_absolute_error': 0.510992989126249},{'mean_absolute_error': 1.1365601783819719}
70,{'mean_absolute_error': 0.5646409376106458},{'mean_absolute_error': 1.152317243728654},{'mean_absolute_error': 0.4642776409494899},{'mean_absolute_error': 1.0990006362782965},{'mean_absolute_error': 0.4605922878732671},{'mean_absolute_error': 1.1459821236468442}
71,{'mean_absolute_error': 0.5094289276512288},{'mean_absolute_error': 1.1173253160166576},{'mean_absolute_error': 0.46398498776649116},{'mean_absolute_error': 1.1463599092909729},{'mean_absolute_error': 0.5032749488319266},{'mean_absolute_error': 1.170601835573714}
72,{'mean_absolute_error': 0.4619803789046631},{'mean_absolute_error': 1.1624755185005833},{'mean_absolute_error': 0.4915991693036294},{'mean_absolute_error': 1.1305174350588265},{'mean_absolute_error': 0.45053069469715934},{'mean_absolute_error': 1.140290806102928}
73,{'mean_absolute_error': 0.42429889799254616},{'mean_absolute_error': 1.1681385267171545},{'mean_absolute_error': 0.5060479300487486},{'mean_absolute_error': 1.1029903599454425},{'mean_absolute_error': 0.40909415037778113},{'mean_absolute_error': 1.1470350628426704}
74,{'mean_absolute_error': 0.4096775861234006},{'mean_absolute_error': 1.1697487881350015},{'mean_absolute_error': 0.5058554102910079},{'mean_absolute_error': 1.1643660476514133},{'mean_absolute_error': 0.5383808923461676},{'mean_absolute_error': 1.1905517421844187}
75,{'mean_absolute_error': 0.47685145366964354},{'mean_absolute_error': 1.1434339593176202},{'mean_absolute_error': 0.45795465556283754},{'mean_absolute_error': 1.1369580859157364},{'mean_absolute_error': 0.4321084112166247},{'mean_absolute_error': 1.1668472136998986}
76,{'mean_absolute_error': 0.3982461787332103},{'mean_absolute_error': 1.161786761539987},{'mean_absolute_error': 0.472320695320106},{'mean_absolute_error': 1.134583440682762},{'mean_absolute_error': 0.39564150113803986},{'mean_absolute_error': 1.144285892152552}
