,train_scores_1,valid_scores_1,train_scores_2,valid_scores_2,train_scores_3,valid_scores_3
64,{'mean_absolute_error': 2.3975233362055524},{'mean_absolute_error': 2.507551890719349},{'mean_absolute_error': 2.5094281463837094},{'mean_absolute_error': 2.5588954494056666},{'mean_absolute_error': 2.5149128055052827},{'mean_absolute_error': 4.727153460595795}
65,{'mean_absolute_error': 3.7202316486543943},{'mean_absolute_error': 3.679828156477795},{'mean_absolute_error': 2.6936376257539125},{'mean_absolute_error': 2.646020308609378},{'mean_absolute_error': 2.242743623994026},{'mean_absolute_error': 4.442669447593586}
66,{'mean_absolute_error': 2.451750781816965},{'mean_absolute_error': 2.7595188794788834},{'mean_absolute_error': 2.7331157162031534},{'mean_absolute_error': 2.9414576807441226},{'mean_absolute_error': 2.043721173804863},{'mean_absolute_error': 4.175246310471832}
67,{'mean_absolute_error': 2.1966940001986486},{'mean_absolute_error': 2.2049431710425433},{'mean_absolute_error': 2.779452420390001},{'mean_absolute_error': 2.9913974666052114},{'mean_absolute_error': 2.1839802120472105},{'mean_absolute_error': 4.372007414434245}
68,{'mean_absolute_error': 2.100133708674584},{'mean_absolute_error': 2.2076157646589922},{'mean_absolute_error': 2.597509199860318},{'mean_absolute_error': 2.7721294521205273},{'mean_absolute_error': 2.113979753276929},{'mean_absolute_error': 4.24607365229307}
69,{'mean_absolute_error': 2.1600868033180816},{'mean_absolute_error': 2.298337280373263},{'mean_absolute_error': 3.375219224952754},{'mean_absolute_error': 3.245727518641486},{'mean_absolute_error': 2.255560367433692},{'mean_absolute_error': 4.4621106657718}
70,{'mean_absolute_error': 1.9925004055107798},{'mean_absolute_error': 2.133005294224917},{'mean_absolute_error': 2.9077585431349213},{'mean_absolute_error': 2.7743346966803317},{'mean_absolute_error': 2.6325857039653466},{'mean_absolute_error': 4.899636551894422}
71,{'mean_absolute_error': 2.0774148862154296},{'mean_absolute_error': 2.217119413982987},{'mean_absolute_error': 2.332842962136505},{'mean_absolute_error': 2.382738992909023},{'mean_absolute_error': 2.048146740769033},{'mean_absolute_error': 4.143676800274611}
72,{'mean_absolute_error': 2.066275790584036},{'mean_absolute_error': 2.2571487899518554},{'mean_absolute_error': 3.2373953084320446},{'mean_absolute_error': 3.4734990897938975},{'mean_absolute_error': 2.061610162491814},{'mean_absolute_error': 4.229805698175458}
73,{'mean_absolute_error': 1.8624023181177594},{'mean_absolute_error': 2.0303375964016617},{'mean_absolute_error': 2.585325401054264},{'mean_absolute_error': 2.8443749196748156},{'mean_absolute_error': 2.1099943665402825},{'mean_absolute_error': 4.146944377954253}
74,{'mean_absolute_error': 1.8375834837856084},{'mean_absolute_error': 2.0500395445452413},{'mean_absolute_error': 2.3902230038631904},{'mean_absolute_error': 2.5148369902762093},{'mean_absolute_error': 2.2451757598677644},{'mean_absolute_error': 4.208136219511228}
75,{'mean_absolute_error': 2.286780794368362},{'mean_absolute_error': 2.547874074742472},{'mean_absolute_error': 2.1948697400797115},{'mean_absolute_error': 2.1707674481679393},{'mean_absolute_error': 2.065249361789825},{'mean_absolute_error': 4.150029622397103}
76,{'mean_absolute_error': 1.9280425446552782},{'mean_absolute_error': 2.248764884635338},{'mean_absolute_error': 3.145167000122093},{'mean_absolute_error': 3.1127916689263055},{'mean_absolute_error': 2.0580506880300997},{'mean_absolute_error': 4.2341917749791484}
77,{'mean_absolute_error': 1.780732445585694},{'mean_absolute_error': 2.062129945195649},{'mean_absolute_error': 2.188739205007927},{'mean_absolute_error': 2.277460799676676},{'mean_absolute_error': 2.8053240461421693},{'mean_absolute_error': 4.582297610349773}
78,{'mean_absolute_error': 2.2067788667404766},{'mean_absolute_error': 2.4879926843139835},{'mean_absolute_error': 2.2839422876294915},{'mean_absolute_error': 2.503451355408379},{'mean_absolute_error': 3.4565869912757705},{'mean_absolute_error': 5.180062854295654}
79,{'mean_absolute_error': 1.9944359416117823},{'mean_absolute_error': 2.33937912033852},{'mean_absolute_error': 2.6088516960701043},{'mean_absolute_error': 2.7532477220285374},{'mean_absolute_error': 1.9570724475069248},{'mean_absolute_error': 4.035465866192144}
80,{'mean_absolute_error': 1.802115821601981},{'mean_absolute_error': 2.143777120741495},{'mean_absolute_error': 2.320789944894206},{'mean_absolute_error': 2.277525272033316},{'mean_absolute_error': 2.0817180236651627},{'mean_absolute_error': 4.381562005687394}
81,{'mean_absolute_error': 1.9708425584984233},{'mean_absolute_error': 2.3572392830679494},{'mean_absolute_error': 2.252684605240249},{'mean_absolute_error': 2.117823806713412},{'mean_absolute_error': 2.2342043929245907},{'mean_absolute_error': 4.331028997157796}
82,{'mean_absolute_error': 1.8855916405978987},{'mean_absolute_error': 2.2131825599630144},{'mean_absolute_error': 2.8265045780385174},{'mean_absolute_error': 3.043037052634881},{'mean_absolute_error': 2.9925110786090103},{'mean_absolute_error': 4.7801191072932685}
83,{'mean_absolute_error': 1.8640875676059607},{'mean_absolute_error': 2.237131178039029},{'mean_absolute_error': 2.2888445623800657},{'mean_absolute_error': 2.4922873037253717},{'mean_absolute_error': 2.104668908053735},{'mean_absolute_error': 4.114504072189763}
84,{'mean_absolute_error': 1.9015141854184474},{'mean_absolute_error': 2.298719546188472},{'mean_absolute_error': 2.020877752728691},{'mean_absolute_error': 2.173096117364356},{'mean_absolute_error': 2.240255165740067},{'mean_absolute_error': 4.699370064655153}
85,{'mean_absolute_error': 1.732237108260664},{'mean_absolute_error': 2.0781514283427667},{'mean_absolute_error': 1.93065562812503},{'mean_absolute_error': 2.0238042769665707},{'mean_absolute_error': 2.1227063414281826},{'mean_absolute_error': 4.599181249075565}
86,{'mean_absolute_error': 1.7406846534355316},{'mean_absolute_error': 2.0672486730131108},{'mean_absolute_error': 1.8411167559422472},{'mean_absolute_error': 2.106790031324165},{'mean_absolute_error': 2.5985076982818693},{'mean_absolute_error': 4.958072061255496}
87,{'mean_absolute_error': 1.8005945871390379},{'mean_absolute_error': 2.1629394938735285},{'mean_absolute_error': 1.8095933785436262},{'mean_absolute_error': 2.0845096387659767},{'mean_absolute_error': 2.5540868469740197},{'mean_absolute_error': 4.5963481750136825}
88,{'mean_absolute_error': 1.8942164689442802},{'mean_absolute_error': 2.2783053139119516},{'mean_absolute_error': 1.784292268264962},{'mean_absolute_error': 2.225670104231796},{'mean_absolute_error': 1.8753601248110636},{'mean_absolute_error': 4.045963828239028}
89,{'mean_absolute_error': 1.8869182883452373},{'mean_absolute_error': 2.2308319503654492},{'mean_absolute_error': 2.3839114457935633},{'mean_absolute_error': 2.612514668009271},{'mean_absolute_error': 1.8909688829040536},{'mean_absolute_error': 4.120496276771392}
