,train_scores_1,valid_scores_1,train_scores_2,valid_scores_2,train_scores_3,valid_scores_3
85,{'mean_absolute_error': 2.515956012386909},{'mean_absolute_error': 3.9224566360975333},{'mean_absolute_error': 2.187926935865377},{'mean_absolute_error': 3.356773040256043},{'mean_absolute_error': 2.1687710210629554},{'mean_absolute_error': 3.580607261822868}
86,{'mean_absolute_error': 2.5100431397853913},{'mean_absolute_error': 3.962734919324667},{'mean_absolute_error': 2.1774691144456586},{'mean_absolute_error': 3.4862192453076806},{'mean_absolute_error': 2.8052884404463962},{'mean_absolute_error': 4.186635556428904}
87,{'mean_absolute_error': 2.339672478693185},{'mean_absolute_error': 3.8188328147351687},{'mean_absolute_error': 2.3465703985936615},{'mean_absolute_error': 3.6898418527264725},{'mean_absolute_error': 2.3558023757403634},{'mean_absolute_error': 3.7830459897628814}
88,{'mean_absolute_error': 2.0431526588701723},{'mean_absolute_error': 3.4861824541173854},{'mean_absolute_error': 2.379601315971568},{'mean_absolute_error': 3.697902435715504},{'mean_absolute_error': 2.9403126861089754},{'mean_absolute_error': 4.438497446543359}
89,{'mean_absolute_error': 2.1200550391739217},{'mean_absolute_error': 3.5903472596587576},{'mean_absolute_error': 2.024091928871498},{'mean_absolute_error': 3.22699250500065},{'mean_absolute_error': 1.999527707805735},{'mean_absolute_error': 3.383484284602795}
90,{'mean_absolute_error': 2.619173624136473},{'mean_absolute_error': 4.217000486728917},{'mean_absolute_error': 2.4040309129202075},{'mean_absolute_error': 3.7388034090510165},{'mean_absolute_error': 1.9411847852365705},{'mean_absolute_error': 3.343778882963081}
91,{'mean_absolute_error': 2.261226723385681},{'mean_absolute_error': 3.802092159368339},{'mean_absolute_error': 1.9882226878514166},{'mean_absolute_error': 3.187873768921671},{'mean_absolute_error': 1.9846376895988582},{'mean_absolute_error': 3.576539951249521}
92,{'mean_absolute_error': 2.3887610933590366},{'mean_absolute_error': 4.018644188195392},{'mean_absolute_error': 2.747699360292661},{'mean_absolute_error': 4.0871848555138675},{'mean_absolute_error': 1.9513301625280857},{'mean_absolute_error': 3.5427724666430414}
93,{'mean_absolute_error': 2.0699621747486443},{'mean_absolute_error': 3.6979973761445395},{'mean_absolute_error': 1.9156079527401821},{'mean_absolute_error': 3.0241670382938706},{'mean_absolute_error': 2.255032472772506},{'mean_absolute_error': 3.8516703557265313}
94,{'mean_absolute_error': 1.9262109028447336},{'mean_absolute_error': 3.4602411686510806},{'mean_absolute_error': 2.8201138424117995},{'mean_absolute_error': 4.213523661993978},{'mean_absolute_error': 2.0883255890228045},{'mean_absolute_error': 3.677986665769839}
95,{'mean_absolute_error': 1.8923507319031347},{'mean_absolute_error': 3.513863702647663},{'mean_absolute_error': 1.89711364158918},{'mean_absolute_error': 3.0708715677320857},{'mean_absolute_error': 1.8752547955502683},{'mean_absolute_error': 3.3832018787125837}
96,{'mean_absolute_error': 2.9545959409289835},{'mean_absolute_error': 4.742458336626059},{'mean_absolute_error': 2.611563502273216},{'mean_absolute_error': 3.9560050406911413},{'mean_absolute_error': 1.8803743917870894},{'mean_absolute_error': 3.442920088145336}
97,{'mean_absolute_error': 1.8559188244479226},{'mean_absolute_error': 3.545638917026846},{'mean_absolute_error': 2.6118810911535566},{'mean_absolute_error': 3.9036914180006104},{'mean_absolute_error': 1.8556780493248437},{'mean_absolute_error': 3.366606915705438}
98,{'mean_absolute_error': 2.1110659747828477},{'mean_absolute_error': 3.6112108415946342},{'mean_absolute_error': 1.9339153432996028},{'mean_absolute_error': 3.009180199792991},{'mean_absolute_error': 1.8129292713368634},{'mean_absolute_error': 3.4608792452708554}
99,{'mean_absolute_error': 1.873446642244151},{'mean_absolute_error': 3.7175748697399755},{'mean_absolute_error': 1.881903501995085},{'mean_absolute_error': 3.2650524686559237},{'mean_absolute_error': 2.0938268819839774},{'mean_absolute_error': 3.7973213216295916}
100,{'mean_absolute_error': 1.8295473110566685},{'mean_absolute_error': 3.65572043484142},{'mean_absolute_error': 1.8673334477878691},{'mean_absolute_error': 3.019254487643819},{'mean_absolute_error': 1.7926790689871184},{'mean_absolute_error': 3.356091066090128}
101,{'mean_absolute_error': 1.927437688535485},{'mean_absolute_error': 3.698901016588797},{'mean_absolute_error': 1.8034252294596005},{'mean_absolute_error': 3.0630790385941733},{'mean_absolute_error': 2.122431812615876},{'mean_absolute_error': 3.794051199824275}
102,{'mean_absolute_error': 1.7874223929341326},{'mean_absolute_error': 3.5270566995750214},{'mean_absolute_error': 1.802408670969666},{'mean_absolute_error': 3.1239453196411318},{'mean_absolute_error': 1.8716519750358622},{'mean_absolute_error': 3.666666600180022}
103,{'mean_absolute_error': 1.7553838341727581},{'mean_absolute_error': 3.571894755243242},{'mean_absolute_error': 1.8593926629390813},{'mean_absolute_error': 3.16381329512255},{'mean_absolute_error': 1.7833239640565919},{'mean_absolute_error': 3.537817036918309}
104,{'mean_absolute_error': 1.7500488973810164},{'mean_absolute_error': 3.558685004347475},{'mean_absolute_error': 2.2403923909627785},{'mean_absolute_error': 3.6164663859549084},{'mean_absolute_error': 1.9888865224619092},{'mean_absolute_error': 3.6220891958734622}
105,{'mean_absolute_error': 1.7290356860259761},{'mean_absolute_error': 3.636346999311885},{'mean_absolute_error': 1.8837721094375963},{'mean_absolute_error': 3.1543577235080256},{'mean_absolute_error': 2.0149411966676105},{'mean_absolute_error': 3.6871365678669883}
106,{'mean_absolute_error': 1.7554114050415466},{'mean_absolute_error': 3.5919809497204964},{'mean_absolute_error': 2.0932272456425443},{'mean_absolute_error': 3.445248114653726},{'mean_absolute_error': 1.7000983173698585},{'mean_absolute_error': 3.4463983366579614}
107,{'mean_absolute_error': 1.7242901183026305},{'mean_absolute_error': 3.57372108342541},{'mean_absolute_error': 1.712122716321536},{'mean_absolute_error': 2.8971221882651004},{'mean_absolute_error': 1.749686053107561},{'mean_absolute_error': 3.494330504988946}
108,{'mean_absolute_error': 1.8649273078425694},{'mean_absolute_error': 3.508298799718643},{'mean_absolute_error': 1.7531090351371927},{'mean_absolute_error': 2.9445359915265463},{'mean_absolute_error': 1.706840534176979},{'mean_absolute_error': 3.3518649570370007}
