,train_mean,train_riso,train_eiso,train_vert,valid_mean,valid_riso,valid_eiso,valid_vert,,,,,,,,,,,,,,,,,,
142,2.833801876,7.334104267,1.071280973,0.09602039,3.049384047,7.969807472,1.084515334,0.093829334,,,,,,,,,,,,,,,,,,
143,2.833714132,7.334742333,1.070356175,0.096043887,3.048826723,7.96990388,1.082744093,0.093832195,,,,,,,,,,,,,,,,,,
144,2.833203706,7.333500069,1.070096116,0.096014932,3.048655058,7.969018235,1.083135194,0.093811745,,,,,,,,,,,,,,,,,,
145,2.833461663,7.334414078,1.070013392,0.095957519,3.048586763,7.969574127,1.08241163,0.093774533,,,,,,,,,,,,,,,,,,
146,2.832833323,7.333131816,1.069400066,0.095968088,3.048300535,7.968645025,1.082482015,0.093774564,,,,,,,,,,,,,,,,,,
147,2.832244323,7.331418,1.069367936,0.095947033,3.048058613,7.967457105,1.0829666,0.093752135,,,,,,,,,,,,,,,,,,
148,2.832292783,7.332104255,1.068844423,0.095929672,3.047776404,7.967464749,1.082124876,0.093739586,,,,,,,,,,,,,,,,,,
149,2.831981821,7.331508526,1.068529383,0.095907553,3.047589099,7.96706779,1.08197935,0.093720159,,,,,,,,,,,,,,,,,,
150,2.831716156,7.330932584,1.068353643,0.095862241,3.047350615,7.966330415,1.082035196,0.093686236,,,,,,,,,,,,,,,,,,
151,2.831290164,7.329949389,1.068109709,0.095811393,3.047153756,7.965741953,1.082064993,0.093654321,,,,,,,,,,,,,,,,,,
152,2.831278628,7.330353982,1.067688688,0.095793213,3.047121458,7.966192276,1.081533239,0.093638861,,,,,,,,,,,,,,,,,,
153,2.830560219,7.328333443,1.067544185,0.095803029,3.04641213,7.964517757,1.081094778,0.093623854,,,,,,,,,,,,,,,,,,
154,2.83000922,7.326193896,1.06810609,0.095727674,3.046524675,7.963061132,1.082924307,0.093588588,,,,,,,,,,,,,,,,,,
155,2.830164,7.327858928,1.066897081,0.095735989,3.046208651,7.964047027,1.080997871,0.093581055,,,,,,,,,,,,,,,,,,
156,2.829455567,7.326106662,1.066557337,0.095702702,3.045682781,7.96264762,1.080842582,0.093558141,,,,,,,,,,,,,,,,,,
157,2.829348261,7.325976005,1.066327198,0.09574158,3.045513073,7.962054467,1.080919158,0.093565593,,,,,,,,,,,,,,,,,,
