,train_scores,valid_scores
309,{'rms_score': 6.729626168146747},{'rms_score': 9.424440142250699}
310,{'rms_score': 4.039058245888101},{'rms_score': 9.47652819793057}
311,{'rms_score': 6.378726152641066},{'rms_score': 9.459368869913868}
312,{'rms_score': 6.2518193376564515},{'rms_score': 9.423650531609033}
313,{'rms_score': 4.047359812709977},{'rms_score': 9.362572832888924}
314,{'rms_score': 3.7951753625346285},{'rms_score': 9.33831642829033}
315,{'rms_score': 4.127778608508135},{'rms_score': 9.394930141565453}
316,{'rms_score': 3.5963440152303714},{'rms_score': 9.309650584937181}
317,{'rms_score': 3.576677342278162},{'rms_score': 9.383142881163568}
318,{'rms_score': 4.51486465898933},{'rms_score': 9.52375420148692}
319,{'rms_score': 4.133233651352553},{'rms_score': 9.508400897087284}
320,{'rms_score': 4.689715418037434},{'rms_score': 9.47413381803134}
321,{'rms_score': 5.673711588443567},{'rms_score': 9.548730156913763}
322,{'rms_score': 4.326994099849677},{'rms_score': 9.55426901910554}
323,{'rms_score': 5.290273597781384},{'rms_score': 9.527692687174495}
324,{'rms_score': 4.490388353551937},{'rms_score': 9.356722672389699}
325,{'rms_score': 3.7233970570329373},{'rms_score': 9.347265794834378}
326,{'rms_score': 5.5576407529063845},{'rms_score': 9.393572779400328}
327,{'rms_score': 5.639274321928391},{'rms_score': 9.45456311291701}
328,{'rms_score': 4.3698404556105945},{'rms_score': 9.49261061375634}
329,{'rms_score': 5.06517085306176},{'rms_score': 9.540974483181774}
330,{'rms_score': 4.205473965225676},{'rms_score': 9.474537259980675}
331,{'rms_score': 3.0385878807245708},{'rms_score': 9.340325806882479}
332,{'rms_score': 4.28395194364412},{'rms_score': 9.410780681145852}
333,{'rms_score': 3.173840856797711},{'rms_score': 9.34758047340027}
334,{'rms_score': 4.672260230654894},{'rms_score': 9.483534365006339}
335,{'rms_score': 4.406171772155056},{'rms_score': 9.480541619053398}
336,{'rms_score': 3.781113264169233},{'rms_score': 9.404251134110211}
337,{'rms_score': 3.9300610140337193},{'rms_score': 9.456822370483906}
338,{'rms_score': 4.471075669032168},{'rms_score': 9.4725529409932}
339,{'rms_score': 4.177679880677956},{'rms_score': 9.368112070613273}
340,{'rms_score': 4.043370527332384},{'rms_score': 9.421659589121543}
341,{'rms_score': 4.070023506791376},{'rms_score': 9.449369886058086}
342,{'rms_score': 4.811379285780596},{'rms_score': 9.445275127776537}
343,{'rms_score': 4.758895184150699},{'rms_score': 9.4021038812754}
344,{'rms_score': 4.788743208600299},{'rms_score': 9.435490879428581}
345,{'rms_score': 3.9163963931526506},{'rms_score': 9.431170741907808}
346,{'rms_score': 3.516593190803762},{'rms_score': 9.396311841759566}
347,{'rms_score': 6.192367220662282},{'rms_score': 9.621025077820269}
348,{'rms_score': 5.6472792554407},{'rms_score': 9.491563738137996}
349,{'rms_score': 4.256361731355258},{'rms_score': 9.406008624468914}
350,{'rms_score': 3.3332580326357486},{'rms_score': 9.328049301107082}
351,{'rms_score': 3.9900366558131024},{'rms_score': 9.333871518793234}
352,{'rms_score': 4.348965374343254},{'rms_score': 9.44297408972665}
353,{'rms_score': 4.743500013052443},{'rms_score': 9.449763114436726}
354,{'rms_score': 3.5707114910965396},{'rms_score': 9.410720438159112}
355,{'rms_score': 4.113762433720987},{'rms_score': 9.401932249364007}
356,{'rms_score': 7.199892476349868},{'rms_score': 9.518467363790624}
357,{'rms_score': 7.126703034256578},{'rms_score': 9.576442078012168}
358,{'rms_score': 5.77304276781789},{'rms_score': 9.594564085251369}
359,{'rms_score': 4.40178916473249},{'rms_score': 9.631892394581994}
360,{'rms_score': 4.66136871887325},{'rms_score': 9.454193060737481}
361,{'rms_score': 4.67283346524051},{'rms_score': 9.571627547880613}
362,{'rms_score': 5.132667171702067},{'rms_score': 9.684115964822622}
363,{'rms_score': 4.858030929593363},{'rms_score': 9.715967961037776}
364,{'rms_score': 3.861425273646258},{'rms_score': 9.414833436570543}
365,{'rms_score': 3.8512016106033533},{'rms_score': 9.368846523163498}
366,{'rms_score': 3.785419186743109},{'rms_score': 9.413920593524798}
367,{'rms_score': 4.978870404178667},{'rms_score': 9.599661848289712}
368,{'rms_score': 5.420997627394887},{'rms_score': 9.663460742784045}
369,{'rms_score': 4.696298108045554},{'rms_score': 9.656381293486994}
370,{'rms_score': 5.019375345074451},{'rms_score': 9.561237052199646}
371,{'rms_score': 4.815986818374265},{'rms_score': 9.478140531110226}
372,{'rms_score': 3.7152567088942643},{'rms_score': 9.38760982051472}
373,{'rms_score': 3.810706677302873},{'rms_score': 9.34379380464774}
